id,t,jp,pid,s,kid,kt,i,st,mi,nc,ju,mj,ut
20,MOHAMMAD RAFFI BERAN,,25,L,15900,parlimen,,HD,2022-11-05T10:25:28.890Z,4,1003,31558,1298
68,NOOR AZLEEN AMBROS,,1,L,15900,parlimen,,KLH,2022-11-05T10:25:28.890Z,1,37369,31558,1298
170,HASSAN ABDUL KARIM,,31,L,15900,parlimen,,MNG,2022-11-05T10:25:28.890Z,2,71233,31558,1298
384,MOHAMAD FARID BIN ABDUL RAZAK,,27,L,15900,parlimen,,KLH,2022-11-05T10:25:28.890Z,3,39675,31558,1298
332,ROSLI,TIADA,25,L,04000,parlimen,,HD,2022-11-05T10:29:18.173Z,1,506,27179,1288
468,HASUNI BIN SUDIN,TIADA,31,L,04000,parlimen,,HD,2022-11-05T10:29:18.173Z,4,8340,27179,1288
24,DATO' SERI HJ AHMAD BIN SAID,TIADA,1,L,04000,parlimen,,KLH,2022-11-05T10:29:18.173Z,3,38535,27179,1288
107,USTAZ CHE ALIAS HAMID,TIADA,2,L,04000,parlimen,,MNG,2022-11-05T10:29:18.173Z,2,65714,27179,1288
131,DATUK HAJI AMZAD HASHIM,TIADA,2,L,03600,parlimen,,MNG,2022-11-05T10:29:30.463Z,4,63016,40907,767
53,DATO' RAJA BAHRIN,ARKITEK,31,L,03600,parlimen,,HD,2022-11-05T10:29:30.463Z,3,10946,40907,767
231,MOHAMAD ABU BAKAR BIN MUDA,TIADA,25,L,03600,parlimen,,HD,2022-11-05T10:29:30.463Z,1,481,40907,767
341,DATO' CIKGU ZUBIR,TIADA,1,L,03600,parlimen,,KLH,2022-11-05T10:29:30.463Z,2,22109,40907,767
314,NICOLE WONG,,1,P,15800,parlimen,,KLH,2022-11-05T10:33:10.220Z,3,30767,30720,1014
474,JIMMY PUAH WEE TSE,,31,L,15800,parlimen,,MNG,2022-11-05T10:33:10.220Z,1,83959,30720,1014
