par_code,par_name,output_file
P.192,MAS GADING,Sarawak-P.192.csv
P.193,SANTUBONG,Sarawak-P.193.csv
P.194,PETRA JAYA,Sarawak-P.194.csv
P.195,BANDAR KUCHING,Sarawak-P.195.csv
P.196,STAMPIN,Sarawak-P.196.csv
P.197,KOTA SAMARAHAN,Sarawak-P.197.csv
P.198,PUNCAK BORNEO,Sarawak-P.198.csv
P.199,SERIAN,Sarawak-P.199.csv
P.200,BATANG SADONG,Sarawak-P.200.csv
P.201,BATANG LUPAR,Sarawak-P.201.csv
P.202,SRI AMAN,Sarawak-P.202.csv
P.203,LUBOK ANTU,Sarawak-P.203.csv
P.204,BETONG,Sarawak-P.204.csv
P.205,SARATOK,Sarawak-P.205.csv
P.206,TANJONG MANIS,Sarawak-P.206.csv
P.207,IGAN,Sarawak-P.207.csv
P.208,SARIKEI,Sarawak-P.208.csv
P.209,JULAU,Sarawak-P.209.csv
P.210,KANOWIT,Sarawak-P.210.csv
P.211,LANANG,Sarawak-P.211.csv
P.212,SIBU,Sarawak-P.212.csv
P.213,MUKAH,Sarawak-P.213.csv
P.214,SELANGAU,Sarawak-P.214.csv
P.215,KAPIT,Sarawak-P.215.csv
P.216,HULU RAJANG,Sarawak-P.216.csv
P.217,BINTULU,Sarawak-P.217.csv
P.218,SIBUTI,Sarawak-P.218.csv
P.219,MIRI,Sarawak-P.219.csv
P.220,BARAM,Sarawak-P.220.csv
P.221,LIMBANG,Sarawak-P.221.csv
P.222,LAWAS,Sarawak-P.222.csv
